id,action_time,object_id,object_repr,action_flag,change_message,content_type_id,user_id
1,2023-05-27 15:56:04.19979+00,1,test,1,"[{""added"": {}}]",7,1
2,2023-05-27 15:56:24.295065+00,1,test,2,"[{""changed"": {""fields"": [""Start date""]}}]",7,1
